name,industry,start_date,end_date,location,country,website,description
IDEA 2025,Textiles,2025-04-28,2025-05-01,Miami Beach FL,USA,https://www.inda.org/events/calendar.php,Nonwovens industry conference and expo
Techtextil North America,Textiles,2025-05-06,2025-05-08,Atlanta GA,USA,https://techtextil-north-america.us.messefrankfurt.com/atlanta/en.html,Technical textiles and nonwovens trade fair
World of Wipes Conference,Textiles,2025-07-21,2025-07-24,Columbus OH,USA,https://www.inda.org/events/calendar.php,International conference on wipes and nonwovens
Cinte Techtextil China,Textiles,2025-09-03,2025-09-05,Shanghai,China,https://cinte-techtextil-china.hk.messefrankfurt.com/shanghai/en.html,Technical textiles trade fair for Asia
OUTLOOK Conference,Textiles,2025-09-23,2025-09-25,Budapest,Hungary,https://www.edana.org/events/outlook/outlook-2025,EDANA nonwovens industry outlook conference
RISE Conference,Textiles,2025-10-14,2025-10-15,Raleigh NC,USA,https://www.riseconf.net,Research innovation and science for engineered fabrics
TECHNOTEXTIL,Textiles,2025-10-21,2025-10-23,Moscow,Russia,https://www.ite-expo.ru/en-GB/Exhibitions/Technotextil.aspx,Technical textiles exhibition
ANTEX Asia,Textiles,2025-10-29,2025-10-31,Bangkok,Thailand,https://www.antexasia.com/the-press-release-2025/,Asian nonwovens exhibition
Non Woven Expo Bangladesh,Textiles,2025-05-22,2025-05-24,Dhaka,Bangladesh,https://bd.cemsonline.net/nonwovenexpo/,Bangladesh nonwovens industry expo
Heimtextil,Textiles,2025-01-14,2025-01-17,Frankfurt,Germany,https://heimtextil.messefrankfurt.com/frankfurt/en.html,International trade fair for home and contract textiles
London Textile Fair,Textiles,2025-01-14,2025-01-15,London,UK,https://www.thelondontextilefair.co.uk/,Premier textile sourcing event in UK
Texworld Paris,Textiles,2025-02-10,2025-02-12,Paris,France,https://texworld-paris.fr.messefrankfurt.com/paris/en.html,International fabric sourcing trade fair
Advanced Textiles Expo,Textiles,2025-05-01,2025-05-03,Orlando FL,USA,https://advancedtextilesexpo.com,Advanced and technical textiles exhibition
ITMF & IAF Annual Conference,Textiles,2025-10-08,2025-10-10,Dubai,UAE,https://www.itmf.org/21-conferences/413-annual-conference-2025,International textile manufacturers federation conference
Textile Institute World Conference,Textiles,2025-10-07,2025-10-10,Porto,Portugal,https://www.textileinstitute.org/events/tiwc/,Global textile industry conference
Textile Exchange Conference,Textiles,2025-10-13,2025-10-17,Lisbon,Portugal,https://textileexchange.org/conference-2025/,Sustainable textiles conference
Fast Textile Fair,Textiles,2025-11-18,2025-11-20,Warsaw,Poland,https://fasttextile.com/en/,Central European textile fair
MAGIC Las Vegas,Textiles,2025-08-18,2025-08-20,Las Vegas NV,USA,https://www.magicfashionevents.com/en/home.html,Fashion and apparel trade show
Automotive Interiors Expo Europe,Automotive,2025-06-03,2025-06-05,Stuttgart,Germany,https://www.automotive-interiors-expo.com/en/,Exhibition for automotive interior materials and technology
Automotive Interiors Expo USA,Automotive,2025-10-28,2025-10-30,Detroit MI,USA,https://www.automotive-interiors-expo.com/usa/,North American automotive interiors exhibition
Automechanika Frankfurt,Automotive,2025-09-09,2025-09-13,Frankfurt,Germany,https://automechanika.messefrankfurt.com,Worlds leading trade fair for automotive aftermarket
Auto Shanghai,Automotive,2025-04-21,2025-04-30,Shanghai,China,https://www.autoshanghai.org,Major international automobile exhibition
Interior Motives Conference,Automotive,2025-06-04,2025-06-05,Stuttgart,Germany,https://www.interiormotivesdesign.com,Automotive interior design conference
NAIAS Detroit Auto Show,Automotive,2025-01-11,2025-01-20,Detroit MI,USA,https://naias.com,North American International Auto Show
Automotive Testing Expo Europe,Automotive,2025-06-03,2025-06-05,Stuttgart,Germany,https://www.testing-expo.com/europe/,Automotive testing technology exhibition
CLEPA Aftermarket Conference,Automotive,2025-03-18,2025-03-19,Brussels,Belgium,https://clepa.eu/events/,European automotive suppliers conference
Global Automotive Lightweight Materials Summit,Automotive,2025-04-08,2025-04-10,Munich,Germany,https://www.automotive-lightweight.com,Automotive lightweight materials and composites
JEC World,Automotive,2025-03-04,2025-03-06,Paris,France,https://www.jec-world.events,Composites industry show and conferences
ISPA EXPO,Bedding,2025-03-10,2025-03-12,Charlotte NC,USA,https://www.sleepproducts.org,International Sleep Products Association expo
Interzum Cologne,Bedding,2025-05-20,2025-05-23,Cologne,Germany,https://www.interzum.com,Furniture production and interior design supplier fair
High Point Market Spring,Bedding,2025-04-05,2025-04-09,High Point NC,USA,https://www.highpointmarket.org,Largest home furnishings trade show in the world
High Point Market Fall,Bedding,2025-10-18,2025-10-22,High Point NC,USA,https://www.highpointmarket.org,Largest home furnishings trade show in the world
Las Vegas Market Winter,Bedding,2025-01-26,2025-01-30,Las Vegas NV,USA,https://www.lasvegasmarket.com,Furniture and home decor market
Las Vegas Market Summer,Bedding,2025-07-27,2025-07-31,Las Vegas NV,USA,https://www.lasvegasmarket.com,Furniture and home decor market
Sleep Summit,Bedding,2025-05-05,2025-05-07,Bentonville AR,USA,https://www.sleepsummit.com,Mattress and sleep industry executive summit
Furniture China,Bedding,2025-09-08,2025-09-11,Shanghai,China,https://www.furniture-china.cn,Chinas leading furniture trade fair
CIFF Guangzhou,Bedding,2025-03-18,2025-03-21,Guangzhou,China,https://www.ciff.furniture,China International Furniture Fair
Bed Show UK,Bedding,2025-09-16,2025-09-17,Telford,UK,https://www.bedshow.co.uk,UKs only dedicated bed industry trade show
HD Expo,Hospitality,2025-05-06,2025-05-08,Las Vegas NV,USA,https://www.hdexpo.com,Hospitality Design expo for hotel interiors
BDNY,Hospitality,2025-11-09,2025-11-10,New York NY,USA,https://www.bdny.com,Boutique Design New York trade fair
The Hotel Show Dubai,Hospitality,2025-05-27,2025-05-29,Dubai,UAE,https://www.thehotelshow.com,Middle Easts largest hospitality trade show
HIX Hotel Interiors Experience,Hospitality,2025-11-18,2025-11-19,London,UK,https://www.hixevent.com,Hotel interior design and architecture exhibition
EquipHotel Paris,Hospitality,2025-11-16,2025-11-20,Paris,France,https://www.equiphotel.com,International hospitality equipment trade fair
HITEC,Hospitality,2025-06-23,2025-06-26,New Orleans LA,USA,https://www.hitec.org,Hospitality Industry Technology Exposition and Conference
Sleep + Eat London,Hospitality,2025-11-18,2025-11-19,London,UK,https://www.sleepandeatevent.com,Hotel design and development event
IHIF Berlin,Hospitality,2025-03-03,2025-03-05,Berlin,Germany,https://www.ihif.com,International Hotel Investment Forum
Independent Hotel Show,Hospitality,2025-10-14,2025-10-15,London,UK,https://www.independenthotelshow.co.uk,Trade show for independent hoteliers
HOST Milano,Hospitality,2025-10-17,2025-10-21,Milan,Italy,https://www.host.fieramilano.it,International hospitality equipment exhibition
